Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  8.92      1.42     1.42      427     0.00     0.00  mark_slice
  5.65      2.32     0.90 43423978     0.00     0.00  camlLm_hash__get_1303
  4.71      3.07     0.75 22847296     0.00     0.00  camlLm_hash__compare_1067
  4.52      3.79     0.72 29176658     0.00     0.00  camlLm_hash__compare_1307
  4.40      4.49     0.70  3206413     0.00     0.00  camlLm_map__find_aux_1382
  4.11      5.15     0.66  1233075     0.00     0.00  camlLm_map__insert_1300
  3.71      5.74     0.59 40268971     0.00     0.00  camlLm_hash__get_coarse_1434
  3.67      6.32     0.59 69787500     0.00     0.00  caml_apply2
  3.14      6.82     0.50 20366560     0.00     0.00  camlLm_hash_code__add_truncated_bits_1015
  3.14      7.32     0.50 29529092     0.00     0.00  caml_page_table_lookup
  2.92      7.79     0.47 30363251     0.00     0.00  camlLm_map__cardinality_1286
  2.86      8.24     0.46 18974711     0.00     0.00  camlLm_hash__compare_1438
  2.01      8.56     0.32      475     0.00     0.00  sweep_slice
  1.88      8.86     0.30  7683801     0.00     0.00  camlOmake_node__compare_2828
  1.70      9.13     0.27  8751357     0.00     0.00  camlLm_map__new_black_1290
  1.60      9.39     0.26  6429505     0.00     0.00  camlLm_map__new_red_1295
  1.54      9.63     0.25  4499121     0.00     0.00  caml_oldify_one
  1.22      9.83     0.20  3769631     0.00     0.00  caml_fl_allocate
  1.13     10.01     0.18  1065827     0.00     0.00  camlLm_hash_code__add_truncated_bits_1050
  1.07     10.18     0.17  1041927     0.00     0.00  camlLm_set__mem_1367
  1.01     10.34     0.16  3769620     0.00     0.00  caml_alloc_shr
  0.94     10.49     0.15   569991     0.00     0.00  camlLm_string_util__next_split_1169
  0.88     10.63     0.14  6498894     0.00     0.00  camlLm_string_util__string_compare_1017
  0.82     10.76     0.13  1060278     0.00     0.00  camlLm_hash_code__add_string_1024
  0.82     10.89     0.13      902     0.00     0.00  caml_oldify_mopup
  0.75     11.01     0.12   392230     0.00     0.00  caml_MD5Transform
  0.75     11.13     0.12  7010926     0.00     0.00  caml_int_compare
  0.69     11.24     0.11  2801521     0.00     0.00  caml_modify
  0.69     11.35     0.11  1587958     0.00     0.00  compare_val
  0.63     11.45     0.10       30     0.00     0.01  extern_value
  0.63     11.55     0.10  6568868     0.00     0.00  camlLm_hash_code__add_bits_1021
  0.57     11.64     0.09     9744     0.00     0.00  camlLm_map__fold_1788
  0.50     11.72     0.08  3769620     0.00     0.00  allocate_block
  0.44     11.79     0.07    63827     0.00     0.00  camlOmake_env__collect_3142
  0.44     11.86     0.07  1197089     0.00     0.00  camlLm_map__add_1378
  0.41     11.92     0.07  1975709     0.00     0.00  caml_fl_merge_block
  0.38     11.98     0.06  6991417     0.00     0.00  camlLm_string_util__contains_aux_1059
  0.38     12.04     0.06   535383     0.00     0.00  caml_parse_engine
  0.38     12.10     0.06                             caml_c_call
  0.35     12.16     0.06                             camlLm_map__fun_3239
  0.31     12.21     0.05  6991417     0.00     0.00  camlLm_string_util__fun_1825
  0.31     12.26     0.05  4299428     0.00     0.00  camlOmake_node__filename_compare_2871
  0.31     12.31     0.05  2772952     0.00     0.00  caml_blit_string
  0.31     12.36     0.05  1964500     0.00     0.00  caml_alloc_string
  0.31     12.41     0.05  1242904     0.00     0.00  camlLm_hash__fun_1507
  0.31     12.46     0.05   533926     0.00     0.00  camlLm_string_util__str_split_1172
  0.31     12.51     0.05   495973     0.00     0.00  camlOmake_node__is_simple_string_3460
  0.28     12.55     0.05  1591392     0.00     0.00  caml_apply3
  0.25     12.59     0.04  4814717     0.00     0.00  caml_apply4
  0.25     12.63     0.04  3206413     0.00     0.00  camlLm_map__find_1393
  0.25     12.67     0.04  3135124     0.00     0.00  camlLm_hash__get_1432
  0.25     12.71     0.04  1898160     0.00     0.00  caml_create_string
  0.25     12.75     0.04  1283165     0.00     0.00  camlBytes__sub_1038
  0.25     12.79     0.04  1250218     0.00     0.00  camlLm_map__filter_add_1360
  0.25     12.83     0.04   912197     0.00     0.00  extern_record_location
  0.25     12.87     0.04   563095     0.00     0.00  camlLm_hash__create_1430
  0.25     12.91     0.04   533901     0.00     0.00  camlLm_filename_util__filename_string_1087
  0.25     12.95     0.04   496320     0.00     0.00  camlOmake_node__add_filename_2867
  0.25     12.99     0.04   495977     0.00     0.00  camlOmake_node__create_node_or_phony_3738
  0.25     13.03     0.04   495945     0.00     0.00  camlOmake_node__new_file_3329
  0.25     13.07     0.04   487576     0.00     0.00  camlList__map_1040
  0.25     13.11     0.04   228218     0.00     0.00  camlLm_set__insert_1095
  0.25     13.15     0.04   207984     0.00     0.00  camlOmake_node__dir_list_of_dir_3285
  0.25     13.19     0.04    99330     0.00     0.00  camlLm_map__mem_1720
  0.22     13.23     0.04   648721     0.00     0.00  camlLm_hash__hash_1436
  0.19     13.26     0.03  2351642     0.00     0.00  camlLm_position__string_pos_1078
  0.19     13.29     0.03  1046790     0.00     0.00  camlOmake_node__add_node_2806
  0.19     13.32     0.03  1015922     0.00     0.00  camlOmake_node__dir_is_sensitive_1506
  0.19     13.35     0.03   845453     0.00     0.00  camlLm_hash__equal_1315
  0.19     13.38     0.03   835414     0.00     0.00  camlLm_hash__equal_1441
  0.19     13.41     0.03   309314     0.00     0.00  camlBuffer__create_1013
  0.19     13.44     0.03   191786     0.00     0.00  camlOmake_node__dir_3644
  0.19     13.47     0.03   159508     0.00     0.00  caml_alloc_small
  0.19     13.50     0.03    19810     0.00     0.00  camlOmake_node__compare_flags_2825
  0.19     13.53     0.03       70     0.00     0.00  camlOmake_node__dir_test_sensitivity_1505
  0.19     13.56     0.03       30     0.00     0.00  extern_replay_trail
  0.19     13.59     0.03        5     0.01     0.01  intern_rec
  0.16     13.61     0.03  3194432     0.00     0.00  camlOmake_node__add_code_2792
  0.16     13.64     0.03  2932225     0.00     0.00  camlOmake_ir_util__compare_1009
  0.16     13.66     0.03                             caml_set_allocation_policy
  0.13     13.68     0.02  1194230     0.00     0.00  caml_equal
  0.13     13.70     0.02  1124812     0.00     0.00  camlLm_hash_code__add_int_1028
  0.13     13.72     0.02  1120202     0.00     0.00  camlLm_string_util__string_compare_aux_1010
  0.13     13.74     0.02   941971     0.00     0.00  camlLm_debug__debug_1017
  0.13     13.76     0.02   638776     0.00     0.00  caml_tuplify2
  0.13     13.78     0.02   528609     0.00     0.00  camlLm_hash__hash_1305
  0.13     13.80     0.02   496320     0.00     0.00  camlOmake_node__add_dir_2861
  0.13     13.82     0.02   495945     0.00     0.00  camlOmake_node__create_node_3720
  0.13     13.84     0.02   427578     0.00     0.00  caml_string_compare
  0.13     13.86     0.02   353930     0.00     0.00  camlList__rev_append_1029
  0.13     13.88     0.02   295707     0.00     0.00  camlOmake_env__venv_find_target_is_buildable_exn_1828
  0.13     13.90     0.02   295707     0.00     0.00  camlOmake_target__target_is_buildable_bound_1091
  0.13     13.92     0.02   280362     0.00     0.00  camlOmake_eval__eval_string_exp_1184
  0.13     13.94     0.02   248173     0.00     0.00  camlOmake_ir_ast__add_extern_1116
  0.13     13.96     0.02   228691     0.00     0.00  camlOmake_eval__collect_1425
  0.13     13.98     0.02   196505     0.00     0.00  camlOmake_env__venv_add_var_2130
  0.13     14.00     0.02   149591     0.00     0.00  camlString__concat_1033
  0.13     14.02     0.02   125369     0.00     0.00  caml_notequal
  0.13     14.04     0.02   118410     0.00     0.00  caml_lex_engine
  0.13     14.06     0.02   104812     0.00     0.00  caml_enter_blocking_section
  0.13     14.08     0.02   103548     0.00     0.00  camlOmake_ast_parse__fun_3548
  0.13     14.10     0.02    72547     0.00     0.00  camlOmake_env__make_command_info_1721
  0.13     14.12     0.02    68619     0.00     0.00  caml_obj_dup
  0.13     14.14     0.02    62453     0.00     0.00  camlOmake_env__venv_explicit_flush_3027
  0.13     14.16     0.02    57531     0.00     0.00  camlLm_string_util__tokens_lex_1324
  0.13     14.18     0.02    37675     0.00     0.00  camlCamlinternalFormat__make_string_padding_60251
  0.13     14.20     0.02    37356     0.00     0.00  camlOmake_build__command_is_blocked_1592
  0.13     14.22     0.02    26033     0.00     0.00  camlLm_hash__fun_1511
  0.13     14.24     0.02    24438     0.00     0.00  caml_page_table_modify
  0.13     14.26     0.02    23829     0.00     0.00  camlLm_glob__is_glob_string_1093
  0.13     14.28     0.02    14276     0.00     0.00  camlLm_set__to_list_aux_1344
  0.13     14.30     0.02     4732     0.00     0.00  camlParsing__loop_1076
  0.13     14.32     0.02     3154     0.00     0.00  camlOmake_eval__eval_single_value_1156
  0.13     14.34     0.02     3100     0.00     0.00  camlOmake_exec_print__print_status_1408
  0.13     14.36     0.02     1881     0.00     0.00  camlOmake_eval__collect_1268
  0.13     14.38     0.02     1250     0.00     0.00  camlOmake_shell_job__create_process_1947
  0.13     14.40     0.02        4     0.01     0.01  camlOmake_build__main_loop_2027
  0.13     14.42     0.02        3     0.01     0.01  camlList__nth_1020
  0.13     14.44     0.02                             camlBytes__of_string_1036
  0.13     14.46     0.02                             camlLm_hash__fun_1501
  0.13     14.48     0.02                             camlOmake_env__venv_remove_explicit_dir_2897
  0.13     14.50     0.02                             compare_stack_overflow
  0.13     14.52     0.02                             unix_lstat_64
  0.13     14.54     0.02                             unix_stat_64
  0.06     14.55     0.01  1197089     0.00     0.00  camlLm_map__fun_2673
  0.06     14.56     0.01  1115700     0.00     0.00  camlLm_hash_code__create_1014
  0.06     14.57     0.01  1062999     0.00     0.00  caml_string_length
  0.06     14.58     0.01  1020548     0.00     0.00  camlBytes__blit_string_1067
  0.06     14.59     0.01  1015922     0.00     0.00  camlOmake_node__fun_4434
  0.06     14.60     0.01   935141     0.00     0.00  camlOmake_eval__eval_value_core_1154
  0.06     14.61     0.01   921441     0.00     0.00  camlOmake_eval__eval_value_1155
  0.06     14.62     0.01   844469     0.00     0.00  caml_set_oo_id
  0.06     14.63     0.01   844363     0.00     0.00  camlLm_wild__wild_match_1031
  0.06     14.64     0.01   732732     0.00     0.00  camlLm_hash_code__add_char_1060
  0.06     14.65     0.01   533926     0.00     0.00  camlLm_string_util__split_1165
  0.06     14.66     0.01   533901     0.00     0.00  camlLm_filename_util__filename_path_1094
  0.06     14.67     0.01   533896     0.00     0.00  camlOmake_node__new_path_3317
  0.06     14.68     0.01   530651     0.00     0.00  camlParsing__peek_val_1093
  0.06     14.69     0.01   496320     0.00     0.00  camlOmake_node__add_dir_2879
  0.06     14.70     0.01   496014     0.00     0.00  camlOmake_env__venv_globals_1535
  0.06     14.71     0.01   495977     0.00     0.00  camlOmake_node__parse_phony_name_3464
  0.06     14.72     0.01   495945     0.00     0.00  camlOmake_node__search_3730
  0.06     14.73     0.01   422632     0.00     0.00  camlLm_set__add_1144
  0.06     14.74     0.01   398623     0.00     0.00  camlList__iter_1061
  0.06     14.75     0.01   391008     0.00     0.00  camlList__fold_left_1073
  0.06     14.76     0.01   298525     0.00     0.00  camlLm_string_util__tokens_atomic_1254
  0.06     14.77     0.01   260712     0.00     0.00  camlLm_location__union_loc_1038
  0.06     14.78     0.01   260224     0.00     0.00  camlOmake_eval__eval_prim_value_1157
  0.06     14.79     0.01   248173     0.00     0.00  camlOmake_ir_ast__fun_4438
  0.06     14.80     0.01   223063     0.00     0.00  camlOmake_eval__eval_catenable_value_1158
  0.06     14.81     0.01   207984     0.00     0.00  camlOmake_node__dir_list_of_dir_3283
  0.06     14.82     0.01   194179     0.00     0.00  camlOmake_eval__string_of_value_1141
  0.06     14.83     0.01   193316     0.00     0.00  camlLm_string_util__buffer_get_token_1317
  0.06     14.84     0.01   179288     0.00     0.00  camlOmake_cache__fun_2584
  0.06     14.85     0.01   165556     0.00     0.00  camlOmake_env__venv_add_wild_match_2625
  0.06     14.86     0.01   162478     0.00     0.00  camlOmake_env__venv_find_var_exn_2098
  0.06     14.87     0.01   150797     0.00     0.00  camlString__fun_1118
  0.06     14.88     0.01   139614     0.00     0.00  camlOmake_eval__fun_4070
  0.06     14.89     0.01   131665     0.00     0.00  caml_hash
  0.06     14.90     0.01   127862     0.00     0.00  caml_hash_mix_intnat
  0.06     14.91     0.01   122901     0.00     0.00  camlOmake_node__relocate_file_3419
  0.06     14.92     0.01   122033     0.00     0.00  camlOmake_node__tail_3637
  0.06     14.93     0.01   119387     0.00     0.00  caml_greaterthan
  0.06     14.94     0.01   116243     0.00     0.00  caml_lessthan
  0.06     14.95     0.01   109791     0.00     0.00  camlOmake_node__create_escape_3619
  0.06     14.96     0.01   109500     0.00     0.00  camlOmake_ast_lex__lexeme_pos_1230
  0.06     14.97     0.01   109120     0.00     0.00  camlOmake_env__command_add_wild_2628
  0.06     14.98     0.01   104812     0.00     0.00  caml_enter_blocking_section_default
  0.06     14.99     0.01   104812     0.00     0.00  caml_leave_blocking_section
  0.06     15.00     0.01   104725     0.00     0.00  camlOmake_ir_ast__add_string_2047
  0.06     15.01     0.01   102665     0.00     0.00  camlOmake_env__subst_source_2595
  0.06     15.02     0.01   102574     0.00     0.00  camlOmake_node__relocate_generic_3373
  0.06     15.03     0.01   102300     0.00     0.00  camlOmake_ast_parse__fun_3778
  0.06     15.04     0.01    96434     0.00     0.00  camlOmake_node__file_contents_3413
  0.06     15.05     0.01    96434     0.00     0.00  camlOmake_node__fun_4574
  0.06     15.06     0.01    95676     0.00     0.00  camlOmake_eval__eval_prim_arg_exp_1187
  0.06     15.07     0.01    95061     0.00     0.00  camlLm_string_util__group_1232
  0.06     15.08     0.01    80420     0.00     0.00  camlLm_set__for_all_1482
  0.06     15.09     0.01    78990     0.00     0.00  camlLm_hash_code__add_string_1063
  0.06     15.10     0.01    74197     0.00     0.00  camlOmake_build__command_succeeded_1590
  0.06     15.11     0.01    71126     0.00     0.00  caml_strdup
  0.06     15.12     0.01    67148     0.00     0.00  camlOmake_env__venv_find_target_dir_opt_2901
  0.06     15.13     0.01    64317     0.00     0.00  camlOmake_node__is_phony_3629
  0.06     15.14     0.01    63836     0.00     0.00  camlOmake_target__search_irules_1093
  0.06     15.15     0.01    63827     0.00     0.00  camlOmake_env__venv_find_implicit_rules_inner_3132
  0.06     15.16     0.01    62457     0.00     0.00  caml_copy_string
  0.06     15.17     0.01    60547     0.00     0.00  camlOmake_cache__stat_unix_simple_1684
  0.06     15.18     0.01    58675     0.00     0.00  camlOmake_build_util__get_worklist_command_1674
  0.06     15.19     0.01    57078     0.00     0.00  camlOmake_command__collect_1031
  0.06     15.20     0.01    55850     0.00     0.00  camlOmake_command_digest__squash_arg_1551
  0.06     15.21     0.01    52702     0.00     0.00  camlOmake_shell_parse__fun_1399
  0.06     15.22     0.01    52518     0.00     0.00  camlOmake_cache__fun_2680
  0.06     15.23     0.01    51365     0.00     0.00  camlOmake_cache__stat_1744
  0.06     15.24     0.01    50465     0.00     0.00  camlOmake_eval__wrap_string_1481
  0.06     15.25     0.01    49783     0.00     0.00  camlLm_string_util__tokens_string_1271
  0.06     15.26     0.01    47540     0.00     0.00  camlLm_set__union_1362
  0.06     15.27     0.01    47398     0.00     0.00  camlOmake_cache__stat_file_1663
  0.06     15.28     0.01    47099     0.00     0.00  camlOmake_eval__eval_apply_string_exp_1164
  0.06     15.29     0.01    46751     0.00     0.00  caml_curry5_4
  0.06     15.30     0.01    44773     0.00     0.00  camlOmake_builtin__wrap_normal_prim_fun_1075
  0.06     15.31     0.01    42479     0.00     0.00  camlOmake_env__venv_nodename_2548
  0.06     15.32     0.01    40153     0.00     0.00  camlOmake_build__fun_2928
  0.06     15.33     0.01    40153     0.00     0.00  camlOmake_build__fun_2934
  0.06     15.34     0.01    40000     0.00     0.00  camlOmake_env__fun_4621
  0.06     15.35     0.01    35189     0.00     0.00  camlOmake_build__process_blocked_1596
  0.06     15.36     0.01    32365     0.00     0.00  camlLm_set__fold_1403
  0.06     15.37     0.01    24423     0.00     0.00  camlBytes__index_rec_1141
  0.06     15.38     0.01    18959     0.00     0.00  camlLm_filename_util__is_slash_1060
  0.06     15.39     0.01    17458     0.00     0.00  camlOmake_command_digest__squash_value_1358
  0.06     15.40     0.01    15307     0.00     0.00  camlOmake_build__reclassify_command_1277
  0.06     15.41     0.01     9897     0.00     0.00  caml_getblock
  0.06     15.42     0.01     9512     0.00     0.00  camlLm_set__delete_1156
  0.06     15.43     0.01     7400     0.00     0.00  camlOmake_exec_local__unix_close_1030
  0.06     15.44     0.01     5627     0.00     0.00  camlOmake_command_type__fun_1200
  0.06     15.45     0.01     5627     0.00     0.00  camlOmake_command_type__is_glob_arg_1091
  0.06     15.46     0.01     5525     0.00     0.00  caml_deserialize_block_8
  0.06     15.47     0.01     4558     0.00     0.00  caml_adjust_gc_speed
  0.06     15.48     0.01     3803     0.00     0.00  camlOmake_build__process_running_1918
  0.06     15.49     0.01     3803     0.00     0.00  camlOmake_exec__wait_1681
  0.06     15.50     0.01     3649     0.00     0.00  camlLm_map__lift_1413
  0.06     15.51     0.01     3356     0.00     0.00  caml_open_descriptor_in
  0.06     15.52     0.01     3151     0.00     0.00  camlOmake_eval__collect_1542
  0.06     15.53     0.01     3151     0.00     0.00  camlOmake_rule__find_alias_of_env_1558
  0.06     15.54     0.01     3150     0.00     0.00  camlOmake_rule__command_line_1901
  0.06     15.55     0.01     2577     0.00     0.00  caml_md5_chan
  0.06     15.56     0.01     2452     0.00     0.00  camlOmake_command_digest__squash_values_1360
  0.06     15.57     0.01     2191     0.00     0.00  camlOmake_eval__eval_apply_string_export_exp_1191
  0.06     15.58     0.01     1966     0.00     0.00  camlOmake_env__venv_add_rule_3013
  0.06     15.59     0.01     1877     0.00     0.00  caml_curry2_1
  0.06     15.60     0.01     1850     0.00     0.00  camlOmake_exec_local__spawn_next_part_1280
  0.06     15.61     0.01     1250     0.00     0.00  camlOmake_rule__eval_shell_1665
  0.06     15.62     0.01     1250     0.00     0.00  camlOmake_shell_job__job_of_pid_1988
  0.06     15.63     0.01     1225     0.00     0.00  camlOmake_builtin_file__search_target_path_aux_1492
  0.06     15.64     0.01     1060     0.00     0.00  caml_fill_string
  0.06     15.65     0.01      902     0.00     0.00  caml_oldify_local_roots
  0.06     15.66     0.01      601     0.00     0.00  caml_ml_out_channels_list
  0.06     15.67     0.01      600     0.00     0.00  camlOmake_build__save_and_finish_scanner_results_1684
  0.06     15.68     0.01      580     0.00     0.00  camlOmake_env__is_multiple_rule_1729
